CATEGORIE_EVENEMENT|TITRE_EVENEMENT|DEBUT_EVENEMENT|FIN_EVENEMENT|HORAIRE_EVENEMENT|COUT_EVENEMENT|DESCRIPTION_EVENEMENT|RENSEIGNEMENT_EVENEMENT|TEL1_EVENEMENT|TEL2_EVENEMENT|COURRIEL_EVENEMENT|URL_EVENEMENT|NOMLIEU_EVENEMENT|COMPLEMENT_LIEU_EVENEMENT|ADRESSE_EVENEMENT|TEL_LIEU|NOM_ARRONDISSEMENT
Musique|Soiree musicale et dansante pour le 35e anniversaire de l'Harmonie des Cascades et le lancement de sa nouvelle image corporative|2015-05-29|2015-05-29|19 h|2|Afin de souligner son 35e anniversaire de fondation, l'Harmonie des Cascades vous convie a une soiree musicale et dansante le vendredi 29 mai 2015 des 19 h au Centre de loisirs Monseigneur-De Laval. Cet evenement se veut un moment au cours duquel l'Harmonie proposera au public trois ambiances differentes dans le cadre d'une rencontre sociale reunissant les partenaires, les anciens membres, les proches et les fideles.  1) Court concert de l'Harmonie (repertoire varie)  2) Lancement de la nouvelle image de l'Harmonie des Cascades  3) Quelques pieces de ballroom pour lancer la soiree festive  4) Quelques pieces Harmonie et Binette Band et par la suite, ce dernier animera le reste de la soiree.  Il y aura un bar sur place. Vous pouvez vous procurez des billets au cout de 10 $ en prevente par les membres de l'Harmonie et a l'Ecole de musique des Cascades au 418 664-0989<a href="#" title="Appeler : 418-664-0989" style="overflow: hidden; cursor: hand;  height: 16px;  width: 16px; vertical-align: middle; white-space: nowrap; right: 0px;  position: static !important; float: none; left: 0px; margin: 0px;  display: inline; top: 0px; bot|0|418-664-0989||info@hdc.qc.ca|http://www.hdc.qc.ca|Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
Activite familiale|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activite petit budget|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activites estivales|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Animation|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Artisanat|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Arts visuels|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Atelier artistique|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Exposition|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Patrimoine|Les ateliers de Girardin : « Petit poisson deviendra grand »|2015-07-01|2015-07-01|De 13 h a 16 h|0|La Maison Girardin invite petits et grands a participer a un atelier de creation. L'artiste Violette Goulet executera une œuvre evolutive qui sera installee dans le jardin de la Maison tout l'ete. Elle fera une demonstration de sa pratique installative tout en vous initiant a sa technique. Venez creer et multiplier les petits poissons!|2|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activite familiale|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activite petit budget|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activites estivales|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Animation|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Artisanat|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Arts visuels|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Atelier artistique|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Exposition|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Patrimoine|Les ateliers de Girardin : « sculpture sur bois »|2015-07-12|2015-07-12|De 10 h a 15 h|0|La Maison Girardin invite petits et grands a decouvrir un atelier de creation en sculpture dans le jardin. L'artiste Bernard Hamel execute une œuvre en bois a partir d'un tronc d'arbre. Il fait une demonstration de sa technique a l'aide d'une scie a chaine, d'outils mecaniques et manuels. Bernard Hamel est un sculpteur repute pour ses sculptures sur glace ! Ce sera l'occasion de visiter l'exposition temporaire en metiers d'art presentee a la Maison Girardin.|1|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Artisanat|Petit banquet entre voisins|2015-06-20|2015-09-20|Du mardi au dimanche de 10h a 17h                         |0| « Petit banquet entre voisins » est une exposition temporaire presentee a la Maison Girardin du 20 juin au 20 septembre 2015. Vous y decouvrirez des creations uniques et contemporaines en sculpture, particulierement de la jeune releve de Quebec.Cet ete, dans la demeure ancestrale du vieux Beauport, artistes et artisans d'art cohabitent en voisins pour vous montrer leurs recherches techniques et esthetiques. L'exposition vous invite a reflechir sur la place de l'artisan d'art sur la scene artistique en 2015 (annee des metiers d'art), en mettant en valeur le message vehicule a travers le travail de la matiere.|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Exposition|Petit banquet entre voisins|2015-06-20|2015-09-20|Du mardi au dimanche de 10h a 17h                         |0| « Petit banquet entre voisins » est une exposition temporaire presentee a la Maison Girardin du 20 juin au 20 septembre 2015. Vous y decouvrirez des creations uniques et contemporaines en sculpture, particulierement de la jeune releve de Quebec.Cet ete, dans la demeure ancestrale du vieux Beauport, artistes et artisans d'art cohabitent en voisins pour vous montrer leurs recherches techniques et esthetiques. L'exposition vous invite a reflechir sur la place de l'artisan d'art sur la scene artistique en 2015 (annee des metiers d'art), en mettant en valeur le message vehicule a travers le travail de la matiere.|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Patrimoine|Petit banquet entre voisins|2015-06-20|2015-09-20|Du mardi au dimanche de 10h a 17h                         |0| « Petit banquet entre voisins » est une exposition temporaire presentee a la Maison Girardin du 20 juin au 20 septembre 2015. Vous y decouvrirez des creations uniques et contemporaines en sculpture, particulierement de la jeune releve de Quebec.Cet ete, dans la demeure ancestrale du vieux Beauport, artistes et artisans d'art cohabitent en voisins pour vous montrer leurs recherches techniques et esthetiques. L'exposition vous invite a reflechir sur la place de l'artisan d'art sur la scene artistique en 2015 (annee des metiers d'art), en mettant en valeur le message vehicule a travers le travail de la matiere.|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activite familiale|Melangeons nos cultures, melangeons nos recettes ! |2015-07-03|2015-07-03|De 11 h a 14 h|0|Dans le cadre de la fete de la ville de Quebec sur le theme de l'interculturalisme, la Maison Girardin et l'association FrancoKaraibes vous proposent de deguster des recettes surprenantes. Sale ou sucre? Du Quebec ou des Antilles ? Nos papilles seront emoustillees. Nous revisiterons des classiques de la cuisine quebecoise en les agrementant d'epices, de fruits ou de legumes antillais. 11 h: presentation des resultats de la consultation culinaire : sucre et sale12 h: presentation de fruits et de legumes exotiques (petite histoire, mode d'utilisation, bienfaits sante, recettes)13 h: concours : quels sont les legumes et les fruits utilises pour revisiter les plats degustes sur place ?13 h 45 : fin du concours14 h : tirage au sort parmi les bonnes reponses|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Animation|Melangeons nos cultures, melangeons nos recettes ! |2015-07-03|2015-07-03|De 11 h a 14 h|0|Dans le cadre de la fete de la ville de Quebec sur le theme de l'interculturalisme, la Maison Girardin et l'association FrancoKaraibes vous proposent de deguster des recettes surprenantes. Sale ou sucre? Du Quebec ou des Antilles ? Nos papilles seront emoustillees. Nous revisiterons des classiques de la cuisine quebecoise en les agrementant d'epices, de fruits ou de legumes antillais. 11 h: presentation des resultats de la consultation culinaire : sucre et sale12 h: presentation de fruits et de legumes exotiques (petite histoire, mode d'utilisation, bienfaits sante, recettes)13 h: concours : quels sont les legumes et les fruits utilises pour revisiter les plats degustes sur place ?13 h 45 : fin du concours14 h : tirage au sort parmi les bonnes reponses|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Atelier culinaire|Melangeons nos cultures, melangeons nos recettes ! |2015-07-03|2015-07-03|De 11 h a 14 h|0|Dans le cadre de la fete de la ville de Quebec sur le theme de l'interculturalisme, la Maison Girardin et l'association FrancoKaraibes vous proposent de deguster des recettes surprenantes. Sale ou sucre? Du Quebec ou des Antilles ? Nos papilles seront emoustillees. Nous revisiterons des classiques de la cuisine quebecoise en les agrementant d'epices, de fruits ou de legumes antillais. 11 h: presentation des resultats de la consultation culinaire : sucre et sale12 h: presentation de fruits et de legumes exotiques (petite histoire, mode d'utilisation, bienfaits sante, recettes)13 h: concours : quels sont les legumes et les fruits utilises pour revisiter les plats degustes sur place ?13 h 45 : fin du concours14 h : tirage au sort parmi les bonnes reponses|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Fete nationale du Quebec|Melangeons nos cultures, melangeons nos recettes ! |2015-07-03|2015-07-03|De 11 h a 14 h|0|Dans le cadre de la fete de la ville de Quebec sur le theme de l'interculturalisme, la Maison Girardin et l'association FrancoKaraibes vous proposent de deguster des recettes surprenantes. Sale ou sucre? Du Quebec ou des Antilles ? Nos papilles seront emoustillees. Nous revisiterons des classiques de la cuisine quebecoise en les agrementant d'epices, de fruits ou de legumes antillais. 11 h: presentation des resultats de la consultation culinaire : sucre et sale12 h: presentation de fruits et de legumes exotiques (petite histoire, mode d'utilisation, bienfaits sante, recettes)13 h: concours : quels sont les legumes et les fruits utilises pour revisiter les plats degustes sur place ?13 h 45 : fin du concours14 h : tirage au sort parmi les bonnes reponses|0|418-641-6471-3|418-821-7049|maisongirardin@sahb.ca|http://www.sahb.ca|Maison Girardin||600, avenue Royale|418-641-6045|Beauport
Activites estivales|Jazz'Art 2015|2015-07-24|2015-07-26|De 19 h a 22 h Animation|0|Du 24 au 26 juillet 2015,  le cœur du Vieux-Beauport battra encore cet ete au rythme du jazz, alors que l'Ecole de musique des Cascades de Beauport presentera la 6e edition de Jazz'Art.  Cet evenement mettant en scene des musiciens de jazz de Quebec proposera trois soirees enlevantes sur le site enchanteur de l'Agora Girardin ou deux spectacles seront presentes chaque soir en rafale. Le coup d'envoi sera donne le vendredi 24 juillet des 19 heures. De plus,  on ''jazzera'' sur l'avenue Royale en apres-midi les 25 et 26 juillet alors que des animations musicales  se derouleront dans une ambiance festive sur trois sites strategiques :· le jardin du bureau d'arrondissement; · la cour avant de la Maison Girardin; · la Place du Vieux-Bourg.  Jazz'Art 2015 : a mettre a votre AGENDA estival !Apportez votre chaise. Programmation detaillee disponible sur demande.|4|418-664-0989||emcb@videotron.ca|http://www.ecoledemusiquedescascades.com|Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
